Comprimento	Intensity
460.90	1540.07
461.11	1488.87
461.31	1472.49
461.51	1443.82
461.72	1572.84
461.92	1456.11
462.12	1556.46
462.32	1562.60
462.53	1542.12
462.73	1933.28
462.93	1497.07
463.14	1613.80
463.34	1505.26
463.54	1497.07
463.75	1538.02
463.95	1415.15
464.15	1619.94
464.36	1513.45
464.56	1570.79
464.76	1482.73
464.96	1529.83
465.17	1415.15
465.37	1472.49
465.57	1581.03
465.78	1564.65
465.98	1490.92
466.18	1472.49
466.39	1447.91
466.59	1474.54
466.79	1433.58
466.99	1480.68
467.20	1425.39
467.40	1488.87
467.60	1488.87
467.81	1431.53
468.01	1634.28
468.21	1439.72
468.41	1513.45
468.62	1613.80
468.82	1472.49
469.02	1507.30
469.22	1402.86
469.43	1439.72
469.63	1480.68
469.83	1472.49
470.04	1525.74
470.24	1525.74
470.44	1538.02
470.64	1517.54
470.85	1521.64
471.05	1484.78
471.25	1513.45
471.45	1472.49
471.66	1591.27
471.86	1505.26
472.06	1431.53
472.26	1433.58
472.47	1531.88
472.67	1548.26
472.87	1488.87
473.07	1480.68
473.28	1458.15
473.48	1595.37
473.68	1548.26
473.88	1497.07
474.09	1521.64
474.29	1488.87
474.49	1507.30
474.69	1423.34
474.90	1390.57
475.10	1538.02
475.30	1548.26
475.50	1599.46
475.70	1466.35
475.91	1415.15
476.11	1480.68
476.31	1611.75
476.51	1531.88
476.72	1480.68
476.92	1452.01
477.12	1548.26
477.32	1423.34
477.53	1505.26
477.73	1472.49
477.93	1466.35
478.13	1472.49
478.33	1456.11
478.54	1476.59
478.74	1597.42
478.94	1540.07
479.14	1499.11
479.34	1501.16
479.55	1460.20
479.75	1458.15
479.95	1546.22
480.15	1525.74
480.35	1529.83
480.56	1587.18
480.76	1566.70
480.96	1476.59
481.16	1540.07
481.36	1542.12
481.57	1411.05
481.77	1578.98
481.97	1488.87
482.17	1466.35
482.37	1466.35
482.58	1497.07
482.78	1466.35
482.98	1505.26
483.18	1423.34
483.38	1499.11
483.58	1468.39
483.79	1540.07
483.99	1456.11
484.19	1468.39
484.39	1472.49
484.59	1472.49
484.80	1482.73
485.00	1529.83
485.20	1529.83
485.40	1558.50
485.60	1474.54
485.80	1492.97
486.01	1480.68
486.21	1527.78
486.41	1634.28
486.61	1652.71
486.81	1550.31
487.01	1447.91
487.22	1587.18
487.42	1574.89
487.62	1497.07
487.82	1566.70
488.02	1546.22
488.22	1538.02
488.42	1564.65
488.63	1562.60
488.83	1482.73
489.03	1439.72
489.23	1646.57
489.43	1507.30
