Comprimento	Intensity
364.43	1578.98
364.64	1529.83
364.85	1587.18
365.06	1513.45
365.27	1505.26
365.48	1531.88
365.69	1554.41
365.89	1529.83
366.10	1603.56
366.31	1447.91
366.52	1548.26
366.73	1613.80
366.94	1710.05
367.15	1497.07
367.36	1488.87
367.57	1646.57
367.77	1603.56
367.98	1677.29
368.19	1538.02
368.40	1546.22
368.61	1619.94
368.82	1474.54
369.03	1599.46
369.23	1660.90
369.44	1423.34
369.65	1501.16
369.86	1509.35
370.07	1517.54
370.28	1581.03
370.49	1517.54
370.70	1570.79
370.90	1538.02
371.11	1513.45
371.32	1533.93
371.53	1587.18
371.74	1480.68
371.95	1488.87
372.16	1423.34
372.36	1554.41
372.57	1587.18
372.78	1505.26
372.99	1458.15
373.20	1492.97
373.41	1380.33
373.61	1562.60
373.82	1533.93
374.03	1425.39
374.24	1523.69
374.45	1546.22
374.66	1507.30
374.86	1556.46
375.07	1546.22
375.28	1497.07
375.49	1484.78
375.70	1447.91
375.91	1505.26
376.11	1521.64
376.32	1544.17
376.53	1529.83
376.74	1564.65
376.95	1996.77
377.16	1570.79
377.36	1472.49
377.57	1628.14
377.78	1597.42
377.99	1603.56
378.20	1507.30
378.40	1587.18
378.61	1572.84
378.82	1581.03
379.03	1595.37
379.24	1587.18
379.45	1415.15
379.65	1456.11
379.86	1466.35
380.07	1513.45
380.28	1525.74
380.49	1562.60
380.69	1605.61
380.90	1646.57
381.11	1521.64
381.32	1497.07
381.53	1689.57
381.73	1552.36
381.94	1538.02
382.15	1462.25
382.36	1513.45
382.57	1556.46
382.77	1464.30
382.98	1529.83
383.19	1499.11
383.40	1595.37
383.60	1597.42
383.81	1578.98
384.02	1562.60
384.23	1570.79
384.44	1521.64
384.64	1484.78
384.85	1556.46
385.06	1538.02
385.27	1521.64
385.48	1525.74
385.68	1497.07
385.89	1464.30
386.10	1554.41
386.31	1517.54
386.51	1529.83
386.72	1480.68
386.93	1583.08
387.14	1562.60
387.34	1554.41
387.55	1464.30
387.76	1533.93
387.97	1482.73
388.17	1564.65
388.38	1529.83
388.59	1548.26
388.80	1443.82
389.01	1482.73
389.21	1595.37
389.42	1562.60
389.63	1554.41
389.84	1460.20
390.04	1521.64
390.25	1548.26
390.46	1578.98
390.67	1540.07
390.87	1488.87
391.08	1578.98
391.29	1499.11
391.49	1509.35
391.70	1529.83
391.91	1576.94
392.12	1499.11
392.32	1466.35
392.53	1619.94
392.74	1546.22
392.95	1456.11
393.15	1607.66
393.36	1538.02
393.57	1546.22
393.78	1546.22
393.98	1570.79
394.19	1521.64
394.40	1693.67
394.60	1636.33
394.81	1525.74
395.02	1415.15
395.23	1488.87
395.43	1525.74
395.64	1638.38
395.85	1484.78
396.06	1517.54
396.26	1587.18
396.47	1474.54
396.68	1464.30
396.88	1558.50
397.09	1499.11
397.30	1605.61
397.50	1560.55
397.71	1572.84
397.92	1595.37
398.13	1581.03
398.33	1474.54
398.54	1613.80
398.75	1472.49
398.95	1570.79
399.16	1568.74
399.37	1513.45
399.57	1521.64
399.78	1595.37
399.99	1542.12
400.20	1687.53
400.40	1550.31
400.61	1505.26
400.82	1505.26
401.02	1572.84
401.23	1583.08
401.44	1482.73
401.64	1603.56
401.85	1611.75
402.06	1546.22
402.26	1505.26
402.47	1523.69
402.68	1677.29
402.88	1423.34
403.09	1619.94
403.30	1562.60
403.50	1480.68
403.71	1669.09
403.92	1480.68
404.12	1480.68
404.33	1587.18
404.54	1591.27
404.74	1546.22
404.95	1654.76
405.16	1554.41
405.36	1595.37
405.57	1546.22
405.78	1578.98
405.98	1529.83
406.19	1472.49
406.40	1628.14
406.60	1599.46
406.81	1525.74
407.02	1538.02
407.22	1517.54
407.43	1472.49
407.64	1554.41
407.84	1488.87
408.05	1587.18
408.26	1566.70
408.46	1673.19
408.67	1710.05
408.87	1513.45
409.08	1550.31
409.29	1685.48
409.49	1513.45
409.70	1603.56
409.91	1656.81
410.11	1619.94
410.32	1587.18
410.53	1533.93
410.73	1611.75
410.94	1652.71
411.14	1581.03
411.35	1613.80
411.56	1699.81
411.76	1767.40
411.97	1595.37
412.18	1628.14
412.38	1591.27
412.59	1660.90
412.79	1607.66
413.00	1712.10
413.21	1630.18
413.41	1669.09
413.62	1609.70
413.82	1687.53
414.03	1710.05
414.24	1695.72
414.44	1679.33
414.65	1710.05
414.86	1734.63
415.06	1845.22
415.27	1695.72
415.47	1802.21
415.68	1775.59
415.89	1767.40
416.09	1751.01
416.30	1718.25
416.50	1818.60
416.71	1972.19
416.92	1851.36
417.12	1955.81
417.33	1882.08
417.53	1845.22
417.74	1875.94
417.94	1957.86
418.15	2004.96
418.36	1877.99
418.56	1822.69
418.77	1931.23
418.97	2013.15
419.18	2054.11
419.39	1914.85
419.59	2015.20
419.80	1957.86
420.00	2009.06
420.21	1947.62
420.41	2039.78
420.62	2244.57
420.83	2023.39
421.03	2144.22
421.24	2205.66
421.44	2154.46
421.65	2168.80
421.85	2234.33
422.06	2127.84
422.27	2189.28
422.47	2211.81
422.68	2308.06
422.88	2303.96
423.09	2269.15
423.29	2334.68
423.50	2422.75
423.70	2406.36
423.91	2398.17
424.12	2408.41
424.32	2408.41
424.53	2506.71
424.73	2566.10
424.94	2521.05
425.14	2490.33
425.35	2594.78
425.55	2652.12
425.76	2670.55
425.96	2623.45
