Comprimento	Intensity
314.17	1488.87
314.39	1501.16
314.60	1525.74
314.81	1497.07
315.02	1357.80
315.23	1439.72
315.44	1509.35
315.65	1583.08
315.87	1505.26
316.08	1540.07
316.29	1425.39
316.50	1497.07
316.71	1525.74
316.92	1431.53
317.14	1488.87
317.35	1480.68
317.56	1458.15
317.77	1644.52
317.98	1492.97
318.19	1538.02
318.40	1509.35
318.62	1546.22
318.83	1583.08
319.04	1484.78
319.25	1509.35
319.46	1566.70
319.67	1542.12
319.88	1570.79
320.09	1540.07
320.31	1497.07
320.52	1507.30
320.73	1607.66
320.94	1513.45
321.15	1431.53
321.36	1464.30
321.57	1603.56
321.78	1513.45
322.00	1529.83
322.21	1513.45
322.42	1464.30
322.63	1554.41
322.84	1472.49
323.05	1513.45
323.26	1417.19
323.47	1583.08
323.69	1452.01
323.90	1497.07
324.11	1484.78
324.32	1484.78
324.53	1425.39
324.74	1488.87
324.95	1570.79
325.16	1466.35
325.37	1492.97
325.59	1560.55
325.80	1490.92
326.01	1449.96
326.22	1581.03
326.43	1517.54
326.64	1583.08
326.85	1554.41
327.06	1425.39
327.27	1515.50
327.48	1644.52
327.69	1505.26
327.91	1443.82
328.12	1460.20
328.33	1460.20
328.54	1398.76
328.75	1560.55
328.96	1505.26
329.17	1497.07
329.38	1497.07
329.59	1441.77
329.80	1875.94
330.01	1603.56
330.23	1546.22
330.44	1521.64
330.65	1449.96
330.86	1464.30
331.07	1523.69
331.28	1546.22
331.49	1480.68
331.70	1497.07
331.91	1417.19
332.12	1554.41
332.33	1529.83
332.54	1615.85
332.75	1562.60
332.96	1464.30
333.17	1525.74
333.39	1556.46
333.60	1474.54
333.81	1488.87
334.02	1488.87
334.23	1554.41
334.44	1423.34
334.65	1464.30
334.86	1570.79
335.07	1538.02
335.28	1431.53
335.49	1572.84
335.70	1472.49
335.91	1499.11
336.12	1548.26
336.33	1546.22
336.54	1513.45
336.75	1464.30
336.96	1540.07
337.17	1550.31
337.39	1497.07
337.60	1542.12
337.81	1603.56
338.02	1542.12
338.23	1480.68
338.44	1423.34
338.65	1480.68
338.86	1435.63
339.07	1476.59
339.28	1521.64
339.49	1603.56
339.70	1538.02
339.91	1529.83
340.12	1529.83
340.33	1447.91
340.54	1476.59
340.75	1439.72
340.96	1488.87
341.17	1488.87
341.38	1425.39
341.59	1546.22
341.80	1677.29
342.01	1505.26
342.22	1413.10
342.43	1505.26
342.64	1517.54
342.85	1513.45
343.06	1507.30
343.27	1529.83
343.48	1605.61
343.69	1542.12
343.90	1458.15
344.11	1490.92
344.32	1447.91
344.53	1458.15
344.74	1554.41
344.95	1460.20
345.16	1472.49
345.37	1390.57
345.58	1521.64
345.79	1435.63
346.00	1523.69
346.21	1472.49
346.42	1490.92
346.63	1505.26
346.84	1548.26
347.05	1501.16
347.26	1458.15
347.47	1460.20
347.68	1538.02
347.89	1488.87
348.10	1492.97
348.31	1441.77
348.52	1447.91
348.73	1497.07
348.94	1509.35
349.15	1538.02
349.36	1482.73
349.57	1425.39
349.78	1533.93
349.99	1480.68
350.20	1578.98
350.41	1480.68
350.62	1366.00
350.83	1546.22
351.04	1409.00
351.25	1499.11
351.46	1466.35
351.67	1423.34
351.88	1464.30
352.09	1497.07
352.30	1554.41
352.50	1538.02
352.71	1415.15
352.92	1468.39
353.13	1474.54
353.34	1415.15
353.55	1562.60
353.76	1488.87
353.97	1521.64
354.18	1562.60
354.39	1415.15
354.60	1619.94
354.81	1562.60
355.02	1556.46
355.23	1505.26
355.44	1513.45
355.65	1441.77
355.86	1488.87
356.07	1474.54
356.28	1540.07
356.48	1468.39
356.69	1480.68
356.90	1431.53
357.11	1484.78
357.32	1497.07
357.53	1556.46
357.74	1529.83
357.95	1509.35
358.16	1464.30
358.37	1419.24
358.58	1447.91
358.79	1445.87
359.00	1554.41
359.21	1480.68
359.41	1540.07
359.62	1566.70
359.83	1484.78
360.04	1492.97
360.25	1562.60
360.46	1531.88
360.67	1402.86
360.88	1474.54
361.09	1550.31
361.30	1521.64
361.51	1482.73
361.72	1456.11
361.92	1603.56
