Comprimento	Intensity
312.48	1550.31
312.69	1460.20
312.90	1538.02
313.12	1480.68
313.33	1505.26
313.54	1562.60
313.75	1443.82
313.96	1556.46
314.17	1474.54
314.39	1447.91
314.60	1513.45
314.81	1611.75
315.02	1370.09
315.23	1431.53
315.44	1499.11
315.65	1513.45
315.87	1521.64
316.08	1464.30
316.29	1499.11
316.50	1456.11
316.71	1525.74
316.92	1472.49
317.14	1480.68
317.35	1435.63
317.56	1558.50
317.77	1578.98
317.98	1439.72
318.19	1613.80
318.40	1458.15
318.62	1578.98
318.83	1484.78
319.04	1529.83
319.25	1490.92
319.46	1556.46
319.67	1488.87
319.88	1529.83
320.09	1550.31
320.31	1521.64
320.52	1505.26
320.73	1554.41
320.94	1415.15
321.15	1507.30
321.36	1529.83
321.57	1490.92
321.78	1529.83
322.00	1492.97
322.21	1480.68
322.42	1429.48
322.63	1603.56
322.84	1349.61
323.05	1603.56
323.26	1419.24
323.47	1492.97
323.69	1484.78
323.90	1517.54
324.11	1439.72
324.32	1501.16
324.53	1492.97
324.74	1546.22
324.95	1488.87
325.16	1513.45
325.37	1458.15
325.59	1472.49
325.80	1529.83
326.01	1548.26
326.22	1605.61
326.43	1525.74
326.64	1521.64
326.85	1531.88
327.06	1447.91
327.27	1513.45
327.48	1591.27
327.69	1583.08
327.91	1456.11
328.12	1480.68
328.33	1466.35
328.54	1400.81
328.75	1554.41
328.96	1589.22
329.17	1521.64
329.38	1560.55
329.59	1484.78
329.80	1857.51
330.01	1564.65
330.23	1574.89
330.44	1513.45
330.65	1521.64
330.86	1548.26
331.07	1415.15
331.28	1492.97
331.49	1456.11
331.70	1521.64
331.91	1423.34
332.12	1529.83
332.33	1546.22
332.54	1554.41
332.75	1525.74
332.96	1419.24
333.17	1505.26
333.39	1564.65
333.60	1505.26
333.81	1521.64
334.02	1423.34
334.23	1505.26
334.44	1415.15
334.65	1464.30
334.86	1447.91
335.07	1531.88
335.28	1492.97
335.49	1525.74
335.70	1529.83
335.91	1490.92
336.12	1466.35
336.33	1531.88
336.54	1466.35
336.75	1472.49
336.96	1538.02
337.17	1572.84
337.39	1423.34
337.60	1513.45
337.81	1548.26
338.02	1472.49
338.23	1509.35
338.44	1456.11
338.65	1445.87
338.86	1447.91
339.07	1546.22
339.28	1476.59
339.49	1621.99
339.70	1501.16
339.91	1505.26
340.12	1531.88
340.33	1452.01
340.54	1499.11
340.75	1550.31
340.96	1464.30
341.17	1538.02
341.38	1460.20
341.59	1554.41
341.80	1564.65
342.01	1474.54
342.22	1449.96
342.43	1452.01
342.64	1562.60
342.85	1581.03
343.06	1529.83
343.27	1472.49
343.48	1601.51
343.69	1419.24
343.90	1478.63
344.11	1521.64
344.32	1511.40
344.53	1546.22
344.74	1554.41
344.95	1415.15
345.16	1476.59
345.37	1529.83
345.58	1562.60
345.79	1480.68
346.00	1546.22
346.21	1398.76
346.42	1456.11
346.63	1525.74
346.84	1562.60
347.05	1466.35
347.26	1472.49
347.47	1435.63
347.68	1542.12
347.89	1497.07
348.10	1548.26
348.31	1546.22
348.52	1374.19
348.73	1558.50
348.94	1464.30
349.15	1607.66
349.36	1456.11
349.57	1419.24
349.78	1480.68
349.99	1449.96
350.20	1605.61
350.41	1464.30
350.62	1439.72
350.83	1472.49
351.04	1435.63
351.25	1527.78
351.46	1554.41
351.67	1474.54
351.88	1476.59
352.09	1468.39
352.30	1572.84
352.50	1570.79
352.71	1439.72
352.92	1449.96
353.13	1449.96
353.34	1460.20
353.55	1540.07
353.76	1431.53
353.97	1578.98
354.18	1587.18
354.39	1562.60
354.60	1613.80
354.81	1513.45
355.02	1587.18
355.23	1515.50
355.44	1472.49
355.65	1449.96
355.86	1505.26
356.07	1554.41
356.28	1578.98
356.48	1538.02
356.69	1499.11
356.90	1507.30
357.11	1515.50
357.32	1497.07
357.53	1472.49
357.74	1619.94
357.95	1554.41
358.16	1460.20
358.37	1439.72
358.58	1439.72
358.79	1427.43
359.00	1480.68
359.21	1402.86
359.41	1605.61
359.62	1538.02
359.83	1542.12
360.04	1497.07
360.25	1484.78
360.46	1497.07
360.67	1505.26
360.88	1433.58
361.09	1542.12
361.30	1546.22
361.51	1482.73
361.72	1464.30
361.92	1595.37
362.13	1515.50
362.34	1550.31
362.55	1474.54
362.76	1423.34
362.97	1533.93
363.18	1507.30
363.39	1556.46
363.60	1529.83
363.81	1431.53
